"TypeId","Name","ActivationDateTime","ACType","TagIds","Kind","ThoughtIconInfo","CreationDateTime","ModificationDateTime","SyncSentId","BrainId","Id","ForgottenDateTime","SyncUpdateDateTime","Label"
"d266c2fe-63cc-464a-9427-dc4cd7c1ef41","Pat Robertson","2022-02-04T02:19:10.4920783",0,"[]",1,"1::0:True:False:0:","2022-02-01T16:24:59.6867091","2022-02-01T16:25:07.2277087",,"151a7829-045f-4dc2-8c26-24d75f6bdd7a","8b8fe606-8948-497b-97c2-218ecea4d83c",,,
"d266c2fe-63cc-464a-9427-dc4cd7c1ef41","Mark Ethridge","2021-12-18T23:49:50.937414",0,"[]",1,"1::0:True:False:0:","2021-12-18T23:49:48.0649132","2022-02-04T01:57:12.747078",,"151a7829-045f-4dc2-8c26-24d75f6bdd7a","8b99c532-31e9-4fae-9a37-95e938c8c072",,,
"d266c2fe-63cc-464a-9427-dc4cd7c1ef41","Arthur J. Jones","2022-01-09T06:46:46.2508048",0,"[]",1,"1::0:True:False:0:","2022-01-09T06:46:41.8978028","2022-01-09T06:46:50.6753046","9e007ea0-cdb9-494c-b8b6-fde15f3a7494","151a7829-045f-4dc2-8c26-24d75f6bdd7a","8ba3aad1-6e12-4375-9be7-f539a8938278",,,
"d266c2fe-63cc-464a-9427-dc4cd7c1ef41","Kirstjen Nielsen","2022-01-13T18:10:15.2996915",0,"[]",1,"1::0:True:False:0:","2022-01-13T18:09:22.5656901","2022-01-13T18:09:27.6511914","9e007ea0-cdb9-494c-b8b6-fde15f3a7494","151a7829-045f-4dc2-8c26-24d75f6bdd7a","8bccc39b-ac5c-424e-9e3d-fd7bd0db5f53",,,
,"North Carolina","2022-01-08T21:20:23.5033285",0,"[]",1,"1::0:False:False:0:","2021-12-15T19:47:55.9401276","2021-12-15T19:47:55.9401276","9e007ea0-cdb9-494c-b8b6-fde15f3a7494","151a7829-045f-4dc2-8c26-24d75f6bdd7a","8bdaf723-f37e-4985-a467-10973740bd7a","2022-01-08T21:20:34.6323048","2022-01-08T21:20:34.6323048",
"9dbd97af-4986-41ae-8ebd-d87a8be0a4ab","Church of God (Cleveland)","2021-12-15T04:08:06.3716281",0,"[]",1,"1::0:True:False:0:","2021-12-15T03:53:06.0496288","2022-01-08T19:44:08.9583059","9e007ea0-cdb9-494c-b8b6-fde15f3a7494","151a7829-045f-4dc2-8c26-24d75f6bdd7a","8bdbb8b3-e972-4c19-b28b-d4a91ab2614d",,,
"3595ecca-9dd8-49f0-913d-06b2efb814fc","World Union of National Socialists","2022-01-09T05:14:10.2688033",0,"[]",1,"1::0:True:False:0:","2022-01-09T05:12:41.1403038","2022-01-09T05:14:14.8413022","9e007ea0-cdb9-494c-b8b6-fde15f3a7494","151a7829-045f-4dc2-8c26-24d75f6bdd7a","8c030361-bb4e-4195-90cf-b34326e56060",,,
"49b42c3b-1a74-46c6-b1d7-ab7c7969a8b9","The Realist (British magazine)","2021-12-21T22:28:01.5045956",0,"[]",1,"1::0:False:False:0:","2021-12-21T22:27:58.8440946","2022-01-07T20:54:16.3239233","9e007ea0-cdb9-494c-b8b6-fde15f3a7494","151a7829-045f-4dc2-8c26-24d75f6bdd7a","8c0aace5-1bb7-4af6-8574-b9808b581500",,,
"d266c2fe-63cc-464a-9427-dc4cd7c1ef41","Vladimir Putin","2022-01-13T17:33:28.0681904",0,"[]",1,"1::0:False:False:0:","2022-01-13T17:33:24.5476909","2022-01-13T17:33:31.019196","9e007ea0-cdb9-494c-b8b6-fde15f3a7494","151a7829-045f-4dc2-8c26-24d75f6bdd7a","8c29817f-a3e6-4a23-950a-83a1544229f5",,,
"d266c2fe-63cc-464a-9427-dc4cd7c1ef41","Irving Kristol","2022-01-24T17:44:03.5445406",0,"[]",1,"1::0:True:False:0:","2022-01-24T17:43:28.2440436","2022-01-24T17:43:34.1950436",,"151a7829-045f-4dc2-8c26-24d75f6bdd7a","8c53fe5d-f45d-409f-84cd-462e1f9a89af",,,
"d266c2fe-63cc-464a-9427-dc4cd7c1ef41","Henryk Grossman","2021-12-20T17:28:01.834053",0,"[]",1,"1::0:True:False:0:","2021-12-20T17:27:57.9490531","2022-01-07T19:52:36.6664224","9e007ea0-cdb9-494c-b8b6-fde15f3a7494","151a7829-045f-4dc2-8c26-24d75f6bdd7a","8c5a4941-8cbb-42a6-b3a7-5e80c3a485fa",,,
"3595ecca-9dd8-49f0-913d-06b2efb814fc","Middle Temple","2022-01-12T22:47:10.172286",0,"[]",1,"1::0:True:False:0:","2022-01-08T22:43:07.3628028","2022-02-04T04:28:04.4010779",,"151a7829-045f-4dc2-8c26-24d75f6bdd7a","8c61114b-2ab3-4cf9-9292-14321807bdf6",,,
"709d6d60-467b-4e7e-8477-8fc17a00e695","German idealism","2022-01-07T20:00:42.2659417",0,"[]",1,"1::0:True:False:0:","2021-12-19T19:01:01.4160822","2022-01-07T19:47:18.1484227","9e007ea0-cdb9-494c-b8b6-fde15f3a7494","151a7829-045f-4dc2-8c26-24d75f6bdd7a","8c6beb97-dc7e-4ef4-b4e7-c4de91163015",,,
"d266c2fe-63cc-464a-9427-dc4cd7c1ef41","Marco Luzzago","2022-02-04T04:54:32.2790863",0,"[]",1,"1::0:True:False:0:","2021-12-27T20:03:08.1606448","2022-02-04T04:54:34.8390788",,"151a7829-045f-4dc2-8c26-24d75f6bdd7a","8c97edd1-0852-4844-b470-e70fbfdd63ed",,,
"7b79e690-faaf-404a-982c-fad8b35868f2","St. George’s School","2022-02-04T05:38:48.9720785",0,"[]",1,"1::0:True:False:0:","2021-12-19T01:10:32.9245805","2022-02-04T05:38:55.016078",,"151a7829-045f-4dc2-8c26-24d75f6bdd7a","8cc62035-bcf5-427e-a694-7f41d6e7de5c",,,
"d266c2fe-63cc-464a-9427-dc4cd7c1ef41","Theodore Roosevelt Sr.","2022-01-08T23:31:44.4718033",0,"[]",1,"1::0:True:False:0:","2022-01-08T23:31:41.2638059","2022-02-04T04:37:39.0730787",,"151a7829-045f-4dc2-8c26-24d75f6bdd7a","8ccb6061-03ce-4ea3-b28f-31a01c414379",,,
"562165bf-44e4-4f29-a84f-c6119270d481","Federalist Society","2022-01-14T19:03:05.1911412",0,"[]",1,"1::0:True:False:0:","2022-01-13T18:30:05.4781905","2022-01-13T18:31:05.9636914","9e007ea0-cdb9-494c-b8b6-fde15f3a7494","151a7829-045f-4dc2-8c26-24d75f6bdd7a","8d03ccd1-a435-426f-ae75-f4760c186d6b",,,
"d266c2fe-63cc-464a-9427-dc4cd7c1ef41","George Tenet","2022-02-04T04:08:14.5610893",0,"[]",1,"1::0:True:False:0:","2021-12-26T20:57:23.4112527","2022-02-04T04:08:17.347579",,"151a7829-045f-4dc2-8c26-24d75f6bdd7a","8d07b43f-bdd3-408e-854d-cb6f61ae2155",,,
"3595ecca-9dd8-49f0-913d-06b2efb814fc","New Right","2022-02-01T16:41:37.7212083",0,"[]",1,"1::0:True:False:0:","2022-01-31T16:53:32.960659","2022-02-04T03:27:30.0775787",,"151a7829-045f-4dc2-8c26-24d75f6bdd7a","8d41a329-52f7-47ba-bf70-b05c47f6fbb3",,,
"709d6d60-467b-4e7e-8477-8fc17a00e695","Dominion theology","2022-02-03T01:05:39.7324476",0,"[]",1,"1::0:True:False:0:","2021-12-15T02:04:25.6566266","2022-02-03T01:05:43.1139468",,"151a7829-045f-4dc2-8c26-24d75f6bdd7a","8d4ce893-fa7b-4d0f-827f-be6c00b9282d",,,
"d266c2fe-63cc-464a-9427-dc4cd7c1ef41","Donald Rumsfeld","2022-01-24T17:52:01.6725427",0,"[]",1,"1::0:True:False:0:","2021-12-14T23:17:32.9281512","2022-01-13T18:53:16.5996909","9e007ea0-cdb9-494c-b8b6-fde15f3a7494","151a7829-045f-4dc2-8c26-24d75f6bdd7a","8d586133-327e-42f7-a548-10050572f016",,,
"d266c2fe-63cc-464a-9427-dc4cd7c1ef41","Elon Musk","2022-02-04T03:02:22.8810791",0,"[]",1,"1::0:True:False:0:","2022-01-08T18:45:28.630303","2022-01-08T18:45:53.573802","9e007ea0-cdb9-494c-b8b6-fde15f3a7494","151a7829-045f-4dc2-8c26-24d75f6bdd7a","8da3a718-68b9-47ae-a036-cc85fcdcbac8",,,
"d266c2fe-63cc-464a-9427-dc4cd7c1ef41","Glendon G. Thompson",,0,"[]",1,"1::0:False:False:0:","2021-12-15T03:09:43.0886268","2022-02-03T01:20:48.3944478",,"151a7829-045f-4dc2-8c26-24d75f6bdd7a","8da44d80-b2c4-4b83-93b8-b6f1023077cf",,,
"3595ecca-9dd8-49f0-913d-06b2efb814fc","Ukrainian Government","2022-01-08T21:47:07.9338018",0,"[]",1,"1::0:False:False:0:","2021-12-20T22:22:14.1435531","2022-01-08T21:47:09.8913054","9e007ea0-cdb9-494c-b8b6-fde15f3a7494","151a7829-045f-4dc2-8c26-24d75f6bdd7a","8de83e27-46a0-4e14-b0ca-c9b569cb6ead",,,
"d266c2fe-63cc-464a-9427-dc4cd7c1ef41","Earl Butz","2021-12-16T19:19:14.84617",0,"[]",1,"1::0:True:False:0:","2021-12-16T19:19:12.0361418","2022-02-03T20:29:08.0146951",,"151a7829-045f-4dc2-8c26-24d75f6bdd7a","8e3ae571-0637-4b69-b52d-4cc5dfc73ee7",,,
