"ThoughtIdA","ThoughtIdB","Kind","Relation","Direction","Meaning","Thickness","CreationDateTime","ModificationDateTime","SyncSentId","BrainId","Id","TypeId","Name"
"7b79e690-faaf-404a-982c-fad8b35868f2","4898be9c-186e-4284-9cd0-a2c52a09666c",1,1,-1,2,-1,"2022-01-07T21:03:35.8554231","2022-01-07T21:03:35.8554231","9e007ea0-cdb9-494c-b8b6-fde15f3a7494","151a7829-045f-4dc2-8c26-24d75f6bdd7a","00042eab-4329-43b8-a6c6-ccd69f37e49a",,
"d266c2fe-63cc-464a-9427-dc4cd7c1ef41","1a77284e-672d-40ec-a30d-2855d27b13d9",1,1,-1,2,-1,"2022-01-13T18:54:02.7411908","2022-01-13T18:54:02.7411908","9e007ea0-cdb9-494c-b8b6-fde15f3a7494","151a7829-045f-4dc2-8c26-24d75f6bdd7a","000502d6-df0a-4a24-97da-5b2f29a44e0f",,
"d266c2fe-63cc-464a-9427-dc4cd7c1ef41","f3b582e0-01ef-42dd-83c3-05f037b4e632",1,1,-1,2,-1,"2022-01-24T18:51:43.7680414","2022-01-24T18:51:43.7680414",,"151a7829-045f-4dc2-8c26-24d75f6bdd7a","000b2329-7dac-401e-a327-2f2dc3d1888b",,
"f75b8ead-1dad-4e8d-aa20-c6b805a14503","d24863ae-2c92-42dc-bec9-fa69994ff478",1,1,-1,1,-1,"2021-12-18T23:40:10.910414","2022-02-03T01:47:49.8964462",,"151a7829-045f-4dc2-8c26-24d75f6bdd7a","0016f8fa-9868-49c0-b934-0831acdf5101","2656bdc6-a769-4ec5-b47f-12f4a5c12e15",
"9b55021f-471f-4353-8aca-2ec7e497b791","172a519b-fd80-4010-bdd7-f271fa16f457",1,1,-1,5,-1,"2022-01-08T21:29:05.5403016","2022-01-08T21:29:05.5403016","9e007ea0-cdb9-494c-b8b6-fde15f3a7494","151a7829-045f-4dc2-8c26-24d75f6bdd7a","001b4503-d180-416e-b559-b0b7931317e8",,
"7b79e690-faaf-404a-982c-fad8b35868f2","9691f028-b4f9-4659-a593-26e2194f272d",1,1,-1,2,-1,"2022-02-03T00:11:36.2669593","2022-02-03T00:11:36.2669593",,"151a7829-045f-4dc2-8c26-24d75f6bdd7a","0024ad42-a0b4-40f2-aaad-23719a41f65e",,
"794966a9-1fc7-4db0-832e-2b3ed28f3f1a","3df527e2-a4f9-42c2-bd93-07a8171ade05",1,1,-1,1,-1,"2022-02-01T15:33:55.789209","2022-02-01T15:34:05.470209",,"151a7829-045f-4dc2-8c26-24d75f6bdd7a","0026baa1-884e-4b3b-82bb-64da6afc24fd","2656bdc6-a769-4ec5-b47f-12f4a5c12e15",
"47e9548c-7e22-426f-a74e-cb19edfe64bb","09c16f11-1c34-44c8-8045-5951a3d1043e",1,1,-1,5,-1,"2022-01-31T16:25:05.9631581","2022-01-31T16:25:05.9631581",,"151a7829-045f-4dc2-8c26-24d75f6bdd7a","002b3f5f-ebdb-4949-897c-8382b159f09b",,
"a07b682e-12f0-441f-a72f-bca4e3633963","c64ddc4b-69d8-4b53-bb01-2db1d9afaa66",1,1,-1,1,-1,"2021-12-20T21:52:19.1290532","2022-02-03T02:48:11.562446",,"151a7829-045f-4dc2-8c26-24d75f6bdd7a","002e8c73-bf18-47b1-8e9a-3f0e7e1d15a0","0a1d0608-8f79-4500-9748-345475ac4238",
"9397a4fa-dfb0-4778-b8fd-8f7ed13736f9","f6b84d2a-6813-4739-b1ee-4148a7280e54",1,1,-1,5,-1,"2022-01-14T21:46:37.3666401","2022-01-14T21:46:37.3666401","9e007ea0-cdb9-494c-b8b6-fde15f3a7494","151a7829-045f-4dc2-8c26-24d75f6bdd7a","002ff5ab-f26f-47ef-a616-e318f8f28dc1",,
"d266c2fe-63cc-464a-9427-dc4cd7c1ef41","2fc16cfe-0405-4520-b2f8-3d801226e456",1,1,-1,2,-1,"2022-02-03T01:50:32.7039462","2022-02-03T01:50:32.7039462",,"151a7829-045f-4dc2-8c26-24d75f6bdd7a","002ff6d7-ddd0-47de-8cee-38b33197162e",,
